t,value
181,0.653163
182,0.635580
183,0.621571
184,0.606830
185,0.586297
186,0.555037
187,0.509107
188,0.446264
189,0.366391
190,0.271583
191,0.165861
192,0.054582
193,-0.056381
194,-0.161537
195,-0.256604
196,-0.339145
197,-0.408886
198,-0.467684
199,-0.519135
200,-0.567897
201,-0.618835
202,-0.676142
203,-0.742559
204,-0.818849
205,-0.903599
206,-0.993386
207,-1.083276
208,-1.167585
209,-1.240762
210,-1.298259
211,-1.337239
212,-1.357004
213,-1.359079
214,-1.346928
215,-1.325356
216,-1.299701
217,-1.274934
218,-1.254837
219,-1.241374
220,-1.234379
221,-1.231600
222,-1.229091
223,-1.221899
224,-1.204919
225,-1.173777
226,-1.125607
227,-1.059573
228,-0.977067
229,-0.881534
230,-0.777972
231,-0.672170
232,-0.569817
233,-0.475640
234,-0.392694
235,-0.321932
236,-0.262135
237,-0.210189
238,-0.161684
239,-0.111730
240,-0.055843
241,0.009228
242,0.084886
243,0.170379
244,0.262849
245,0.357738
246,0.449477
247,0.532348
248,0.601372
249,0.653084
250,0.686058
251,0.701102
252,0.701087
253,0.690441
254,0.674391
255,0.658078
256,0.645691
257,0.639773
258,0.640795
259,0.647087
260,0.655134
261,0.660170
262,0.657004
263,0.640908
264,0.608440
265,0.558061
266,0.490436
267,0.408384
268,0.316463
269,0.220282
270,0.125640
271,0.037631
272,-0.040123
273,-0.105999
274,-0.160561
275,-0.206390
276,-0.247574
277,-0.288948
278,-0.335215
279,-0.390083
280,-0.455573
281,-0.531605
282,-0.615936
283,-0.704460
284,-0.791818
285,-0.872220
286,-0.940339
287,-0.992144
288,-1.025505
289,-1.040506
290,-1.039384
291,-1.026121
292,-1.005752
293,-0.983510
294,-0.963932
295,-0.950101
296,-0.943125
297,-0.941956
298,-0.943567
299,-0.943472
300,-0.936486
301,-0.917611
302,-0.882898
303,-0.830138
304,-0.759272
305,-0.672452
306,-0.573735
307,-0.468472
308,-0.362484
309,-0.261163
310,-0.168651
311,-0.087226
312,-0.016999
313,0.044021
314,0.099521
315,0.154191
316,0.212861
317,0.279623
318,0.357071
319,0.445784
320,0.544161
321,0.648600
322,0.754026
323,0.854657
324,0.944899
325,1.020201
326,1.077758
327,1.116913
328,1.139220
329,1.148137
330,1.148416
331,1.145283
332,1.143538
333,1.146742
334,1.156613
335,1.172726
336,1.192588
337,1.212052
338,1.226014
339,1.229280
340,1.217447
341,1.187663
342,1.139138
343,1.073312
344,0.993667
345,0.905198
346,0.813646
347,0.724606
348,0.642662
349,0.570701
350,0.509504
351,0.457691
352,0.412030
353,0.368047
354,0.320854
355,0.266034
356,0.200460
357,0.122890
358,0.034255
359,-0.062415
360,-0.162419
361,-0.260088
362,-0.349653
363,-0.426132
364,-0.486093
365,-0.528157
366,-0.553178
367,-0.564042
368,-0.565148
369,-0.561635
370,-0.558497
371,-0.559723
372,-0.567619
373,-0.582401
374,-0.602157
375,-0.623154
376,-0.640465
377,-0.648790
378,-0.643353
379,-0.620716
380,-0.579377
381,-0.520052
382,-0.445597
383,-0.360580
384,-0.270578
385,-0.181301
386,-0.097714
387,-0.023273
388,0.040578
389,0.094573
390,0.141432
391,0.185329
392,0.231124
393,0.283476
394,0.345991
395,0.420543
396,0.506880
397,0.602588
398,0.703410
399,0.803875
